VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/1/2016 0:00,1/1/2016 0:28,4,15.64,-73.78713989,40.644050598144531,1,N,-73.94842529,40.730735778808594,2,44,0.5,0.5,0,0,0.3,45.3
1,1/1/2016 0:00,1/1/2016 0:17,1,5.7,-73.9877243,40.750568389892578,1,N,-74.03556824,40.713573455810547,1,18,0.5,0.5,8,10.5,0.3,37.8
2,1/1/2016 0:00,1/1/2016 0:10,6,2.56,-73.9796524,40.776119232177734,1,N,-73.96468353,40.806755065917969,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,1/1/2016 0:01,1/1/2016 0:18,3,15.25,-73.78180695,40.644863128662109,1,N,-73.93797302,40.726325988769531,1,40.5,0.5,0.5,0,0,0.3,41.8
2,1/1/2016 0:01,1/1/2016 0:07,5,1.65,-73.96527863,40.801040649414063,1,N,-73.94747925,40.815170288085937,2,7.5,0.5,0.5,0,0,0.3,8.8
2,1/1/2016 0:01,1/1/2016 0:13,6,7.85,-73.97962952,40.743255615234375,1,N,-73.91187286,40.764629364013672,1,22.5,0.5,0.5,5.87,5.54,0.3,35.21
2,1/1/2016 0:01,1/1/2016 0:20,2,1.28,-73.98442078,40.767238616943359,1,N,-73.97859955,40.754261016845703,2,11.5,0.5,0.5,0,0,0.3,12.8
2,1/1/2016 0:01,1/1/2016 0:26,1,3.18,-74.01099396,40.708873748779297,1,N,-73.98805237,40.749320983886719,2,17,0.5,0.5,0,0,0.3,18.3
2,1/1/2016 0:01,1/1/2016 0:04,1,0.56,-73.98074341,40.746910095214844,1,N,-73.99086761,40.75115966796875,2,4.5,0.5,0.5,0,0,0.3,5.8
2,1/1/2016 0:01,1/1/2016 0:05,2,0.94,-73.99197388,40.726478576660156,1,N,-74.00308228,40.722049713134766,2,5,0.5,0.5,0,0,0.3,6.3
